Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,District/Neighborhood,Holiday/Special Event,Land,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
 Under the Sea,Mouse House Dance Mixes ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:03:47.778,Mark Lennon,16,
 Colors of the Wind,Disneymania 5 ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:03:11.124,Vanessa Hudgens,6,
 The Second Star to the Right,Disneymania 5 ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:02:39.029,T-Squad,5,
 You'll Be in My Heart,Disneymania 4 ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:04:09.523,Teddy Geiger,8,
 Kiss the Girl,Disneymania 6 ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:03:09.692,Colbie Caillat,2,
 He Lives in You,Disneymania 6 ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:03:43.746,Elijah Kelley,3,
 Part of Your World,Disneymania ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:02:53.093,Jessica Simpson,10,
 Hakuna Matata,Disneymania ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:03:33.622,Baha Men,9,
 Beauty and the Beast,Disneymania ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:03:23.318,Jump5,13,
 Can You Feel the Love Tonight,Mouse House Dance Mixes ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:03:38.343,Jilien,15,
 It's a Small World (Rapmania! Mix),Disneymania 3 ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:02:50.090,Fan 3,14,
 Someday,Mouse House Dance Mixes ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:03:41.717,Donna Summer,17,
 I Just Can't Wait to Be King,Mouse House Dance Mixes ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:03:24.433,Denny Leroux,11,
 So This Is Love,Disneymania 5 ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:03:20.453,The Cheetah Girls,4,
 A Dream Is a Wish Your Heart Makes,Disneymania 4 ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:03:37.979,Disney Channel Stars,7,
" The Tiki, Tiki, Tiki Room",Disneymania ,,,,,,Food and Wine Festival,Hollywood Land,F&W Jr. Chef Preshow 2019,,, 00:02:42.163,Hilary Duff,12,
Celebrity Skin,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,"This loop played at the Captain Marvel Meet and Greet in Hollywood Land in 2019. Preliminary tracklist compiled by SorcererParker, CThaddeus, and monorail91. See MouseBits, https://mousebits.com/smf/index.php?topic=10060.msg93989#msg93989 (2019).",Unknown,,Hole,1,“Celebrity Skin” only plays when Capt. Marvel arrives.
Love is All Around,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Joan Jett and the Blackhearts,9,
Heartbreaker,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Pat Benetar,3,
All I Want,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Toad the Wet Sprocket,19,
Learning to Fly,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Tom Petty,20,
Have You Seen Me Lately?,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Counting Crows,16,
Trouble,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,P!nk,15,
The Warrior,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Patty Smyth,6,
Learn to Fly,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Foo Fighters,10,
Just A Girl,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,No Doubt,21,
Spiderwebs,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,No Doubt,5,
I Do,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Lisa Loeb,4,
Kookie's Caper,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,The Warren Baker Orchestra,22,
Today,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,The Smashing Pumpkins,12,
Learn to Fly,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Foo Fighters,2,
Welcome to Paradise,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Green Day,14,
What a Wonderful World,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,The Ramones,7,
Hazy Shade of Winter,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,The Bangles,18,
Human,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,The Killers,8,
There She Goes,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,The La's,13,
Runaway Train,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Soul Asylum,11,
My Hero,,,,,,,,Hollywood Land,Captain Marvel Meet and Greet,,,,Foo Fighters,17,
"Once Upon a Dream (instrumental mix, no vocals)",Maleficent: Original Motion Picture Soundtrack,,,,"April 18, 2014",,,"""a bug's land""",Maleficent Exclusive Sneak Peek,"This loop played in the exterior area adjacent to the “it’s tough to be a bug” theater during the Maleficent Exclusive Sneak Peek event, which opened on April 18, 2014. Verified tracklist compiled by pixelated based on his reference recording. He noted that the loop probably synchronized with the screenings. See MouseBits, https://mousebits.com/smf/index.php?topic=8590.msg80986#msg80986 (2014).",00:15:01 +/- 0.2 secs.,3:12.170,James Newton Howard,1,"Edited to include ~0:03.987 to ~3:16.157 of the album track. The album track fades out so it's possible this track overlaps the next track. I.e., the next track starts at ~3:16.157 and mixes in with this track."
The Christening,Maleficent: Original Motion Picture Soundtrack,,,,"April 18, 2014",,,"""a bug's land""",Maleficent Exclusive Sneak Peek,,,1:17.248,James Newton Howard,2,The loop track uses ~4:13.431 to the end of the album track. The fadeout at the end of this track overlaps with the fade-in at the start of the next track.
Aurora and the Fawn,Maleficent: Original Motion Picture Soundtrack,,,,"April 18, 2014",,,"""a bug's land""",Maleficent Exclusive Sneak Peek,,,0:58.964,James Newton Howard,4,"The loop track uses 0:00 to 0:58.964 of the album track, ending with the last piano note. This track starts at ~4:35.435 of the previous track; i.e., when the previous track has faded out to complete silence."
Aurora and the Fawn,Maleficent: Original Motion Picture Soundtrack,,,,"April 18, 2014",,,"""a bug's land""",Maleficent Exclusive Sneak Peek,,,0:22.846,James Newton Howard,6,The loop track uses ~1:42.432 to ~2:05.278 of the album track. The album track's own fadeout leads into the next loop track.
Maleficent Suite,Maleficent: Original Motion Picture Soundtrack,,,,"April 18, 2014",,,"""a bug's land""",Maleficent Exclusive Sneak Peek,,,2:56.928,James Newton Howard,5,"The loop track uses ~1:28.786 to ~4:25.714 of the album track.
<Orchestral swell with cymbal crash followed by 2 tambourine shakes, length 0:05.590>"
Maleficent Flies,Maleficent: Original Motion Picture Soundtrack,,,,"April 18, 2014",,,"""a bug's land""",Maleficent Exclusive Sneak Peek,,,4:39.920,James Newton Howard,3,"The loop track uses the full album track; i.e., this is the only unedited album track in the loop. This track starts at ~5:20.459 of the previous track so this track's beginning fadein overlaps with the ending fadeout of the previous track. The next track starts when the fadeout at the end of this track finally goes completely silent."
The Christening,Maleficent: Original Motion Picture Soundtrack,,,,"April 18, 2014",,,"""a bug's land""",Maleficent Exclusive Sneak Peek,,,1:37.195,James Newton Howard,7,"Track 7 chorus fadeout overlapped with quiet swirling strings, length 0:04.845. Theater doors close around this time."
Grand Finale: Barnum & Bailey's Favorite (March),Under the Bigtop: 100 Years of Circus Music,,,,"October 7, 2002 → September 4, 2018",,,"""a bug's land""",Tuck and Roll's Drive 'Em Buggies,,,,The Great American Main Street Band,4,
Dogs and Ponies: Honey Boys on Parade (March); Snare Drum and Chord,Under the Bigtop: 100 Years of Circus Music,,,,"October 7, 2002 → September 4, 2018",,,"""a bug's land""",Tuck and Roll's Drive 'Em Buggies,,,,The Great American Main Street Band,5,
Jugglers: Stop It! (One Step); Snare Drum & Chord,Under the Bigtop: 100 Years of Circus Music,,,,"October 7, 2002 → September 4, 2018",,,"""a bug's land""",Tuck and Roll's Drive 'Em Buggies,,,,The Great American Main Street Band,7,
Overture: William Tell,Unknown,,,,,,,Paradise Gardens Park,Silly Symphony Swings,"These two tracks alternate as the musical selection for the attraction music when Silly Symphony Swings is in motion. The first track version starts with an excerpt of The Storm (the song that summons the tornado in The Band Concert cartoon short) and then proceeds to the finale piece of William Tell Overture for the remainder. The second version plays William Tell Overture for the entire duration. See MouseBits, https://mousebits.com/smf/index.php?topic=5547.msg42432#msg42432",,,Gioachino Rossini,1,
Circus Music (custom-arranged by WDI),Unreleased,,,,"June 15, 2012",,,Buena Vista Street,Big Top Toys,"The Big Top Toys loop is identical to the WDW Magic Kingdom’s Storybook Circus loop, which is a ~1 hr long loop consisting of several circus marches and Dumbo themes rearranged for a small circus band. The DCA loop is slowed down slightly (0.997521 playback rate as confirmed by pixelated based on his partial reference recording, see https://mousebits.com/smf/index.php?topic=7449.msg67654#msg67654). Also see MouseBits for a partial list of tune names, https://mousebits.com/smf/index.php?topic=8386.msg78365#msg78365, and https://mousebits.com/smf/index.php?topic=7806.msg87642#msg87642.","01:06:48.133 (not slowed down)
",,Stephen James Taylor (Arranger),1,See loop notes
Instant Concert,2010 Gurkha Festival of Music,,,,,,,Paradise Gardens Park,Instant Concert: Just Add Water,"This is not necessarily a loop, but a collection of songs from the Instant Concert series with Goofy at Paradise Pier.  Compiled by RocketRodsXPR. See MouseBits, https://mousebits.com/smf/index.php?topic=7896.msg70476#msg70476 (2013).",,,The Band of the Brigade of Gurkhas,,
Baroque Hoedown,A Disney Spectacular,,,,,,,Paradise Gardens Park,Instant Concert: Just Add Water,,,,Cincinnati Pops Orchestra,,"Alternate version of the show if Goofy is not available, if the weather is too hot, or if they just decide not to use him for whatever reason."
Rhapsody from Hunger(y),,,,,,,,Paradise Gardens Park,Instant Concert: Just Add Water,,,,Spike Jones,,
Holiday for Strings,,,,,,,,Paradise Gardens Park,Instant Concert: Just Add Water,,,,Spike Jones,,Edited
Tour of the Kingdom,The Little Mermaid Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,,23,
"Piano Concerto No. 2, Op. 102",Fantasia 2000 Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],"This loop plays inside the Sunset Theater in the queueing area for Philharmagic. Tracklist compiled by wedroy1923 and disneykw. Presumed to be the same as the WDW loop. See MouseBits, https://mousebits.com/smf/index.php?topic=5020.msg66882#msg66882 (2010).",00:46:30,01:22,,1,Edited 00.00 - 01.22
Carnival of the Animals: Finale,Fantasia 2000 Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,,12,Edited 00.06 - End
Pomp and Circumstance,Fantasia 2000 Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,02:06,,6,Edited 00.00 - 02.06
Jane Finds the Treasure,Return to Neverland Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,Joel McNeely,16,
Reunion (The Second Star to the Right),Return to Neverland Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,Joel McNeely,21,
Pines of Rome,Fantasia 2000 Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,,22,Edited 00.00 - 01.48
Firebird Suite,Fantasia 2000 Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,,20,
Happy Ending,The Little Mermaid Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,Alan Menken,8,Edited 01.08 - 02.23
Main Title,Return to Neverland Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,01:39,Joel McNeely,3,Edited 00.15 - 01.54
Jane Can Fly,Return to Neverland Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,00:51,Joel McNeely,5,Edited 00.54 - 01.45
Jane Saves Tink and Pan,Return to Neverland Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,Alan Menken,13,Edited 00.00 - 00.55
Flying Home,Return to Neverland Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,Joel McNeely,17,
Main Titles,The Little Mermaid Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,Alan Menken,10,
Beauty and the Beast,,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,~02.14,,7,
Mickey Mouse Club March,,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,~02.16,,2,
To the Fair,Beauty and the Beast Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,,9,Edited 00.13 - End
Bedtime,The Little Mermaid Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,Alan Menken,14,
The Kiss,Aladdin Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,,19,
Transformation,Beauty and the Beast Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,Alan Menken,11,Edited 00.00 - 04.46
Once Upon a Dream,,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,02:58,,4,
Mickey's PhilharMagic Medley,https://www.yesasia.com/us/tokyo-disney-land-mickeys-philharmagic-japan-version/1023826247-0-0-0-en/info.html,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,,15,
Dance of the Reed Flutes,,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,,18,
Flight Through Neverland,Return to Neverland Motion Picture Soundtrack,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,Joel McNeely,25,Edited 00.52 - 02.32
Belle,,,,,"April 26, 2019",,,Hollywood Land,Mickey's Philharmagic Queue [PRE],,,,,24,~01.11
Andy's Birthday,Toy Story OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,"This loop played in Pardise Gardens Park during Pixar Fest in 2018. It also played in the Esplanade with a slightly shorter/faster playback time (likely due to the different playback systems). Compiled by junglecskipper. Paradise Park loop length based on reference recording by Pixelated. See MouseBits, https://mousebits.com/smf/index.php?topic=9747.msg91902#msg91902 and https://mousebits.com/smf/index.php?topic=9820.msg92750#msg92750. ",01:04:27.374,,Randy Newman,1,Track edited 00:00-00:13
You've Got a Friend,Toy Story 2 OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Tom Scott,16,
Opening Race,Cars OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Randy Newman,5,Edited 00:00-00:27
Wall*E,Wall-e OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Thomas Newman,26,
Run With the Herd,The Good Dinosaur OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Mychael Danna,23,Edited 01:41-03:19
The Scare Floor,"Monsters, Inc. OST",,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Randy Newman,32,
The Incredits,The Incredibles OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Michael Giacchino,19,Edited 00:00-04:46
Merida's Home,Brave OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Patrick Doyle,20,
Ride Like the Wind,Toy Story 2 OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Randy Newman,12,Edited 00:56-01:20
Migration Song,Finding Nemo OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Thomas Newman,10,
Andy's Birthday,Toy Story OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Randy Newman,21,Edited 00:00-00:13
It's Finn McMissile!,Cars 2 OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Michael Giacchino,35,Edited 03:17-04:42
The Axiom,WALL-E OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Thomas Newman,17,Edited 00:00-01:15
The Glory Days,The Incredibles OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Michael Giacchino,34,Edited 00:00-01:31
Gnarly Chop,Finding Dory OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Thomas Newman,24,
A Bug's Life Suite,A Bug's Life OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Randy Newman,8,Edited 00:00-01:22
Field Trip,Finding Nemo OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Thomas Newman,3,
Up with End Credits,Up OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Micheal Giacchino,27,Edited 01:41-03:11
Fiesta Espectacular,Coco OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Michael Giacchino,29,
Define Dancing,WALL-E OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Thomas Newman,11,
Colette Shows Him Le Ropes,Ratatoullie OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Michael Giacchino,33,
Jessie and the Round Up Gang,Toy Story 2 OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Randy Newman,13,Edited 00:00-00:47
72 Degrees and Sunny,WALL-E OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Thomas Newman,18,Edited 00:00-00:42
End Creditouilles,Ratatouille OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Michael Giacchino,2,Edited 00:00-02:23
Fiesta con de la Cruz,Coco OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Michael Giacchino,14,
The Cleaner,Toy Story 2 OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Randy Newman,31,
The Joy of Credits,Inside Out OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Michael Giacchino,30,Edited 00:00-02:23
Plaza de la Cruz,Coco OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Michael Giacchino,28,
"Monsters, Inc",Monsters Inc. OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Randy Newman,7,
McQueen and Sally,Cars OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Randy Newman,36,
The Turtle Lope,Finding Nemo OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Thomas Newman,25,Edited 01:11-02:04
The Flik Machine,A Bug's Life OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Randy Newman,22,
Fish Who Wander,Finding Dory OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Thomas Newman,15,
Up With Titles,Up OST,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Michael Giacchino,9,
First Day of School,Inside Out OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Michael Giacchino,4,Edited 00:00-00:53
Woody's a Star,Toy Story 2 OST ,,,,"April 13, 2018 → September 3, 2018",,Pixar Fest,Paradise Gardens Park,Pixar Fest,,,,Randy Newman,6,Edited 00:43-01:27
Circus Bugs Performing,Unreleased,,,,,,,"""a bug's land""",Flik's Fun Fair,,,,,2,
See loop notes,Unreleased,,,,,,,Hollywood Pictures Backlot,The Twilight Zone Tower of Terror Exit,"This loop plays from speakers hanging from the ceiling in the hallways leading from the unload to the gift shop. This is a custom, non-needledrop arrangement of music that seems to be floating around in source from various collectors. The track is called “Unload - Exit Hallway BGM.” See MouseBits, https://mousebits.com/smf/index.php?topic=3574.msg23958#msg23958 (2008), https://mousebits.com/smf/index.php?topic=2906.msg18685#msg18685 (2008), and https://community.magicmusic.net/threads/c33-notes-3-31-09.4108/#post-29698 (2009). ",~00:03:11,,,1,
California Dreamin’,The Best Of The Mamas & The Papas (20th Century Masters) [1999],,,,"November 1, 2001 → January 1, 2002",,Christmas,Sunshine Plaza,Sunshine Plaza Holiday v.1 [PRE],"This loop played in Sunshine Plaza during DCA’s first Holiday season in 2001, but was replaced by 2002. MouseBits member Jarvis says: “At the time, they just stuck four Christmas songs into the regular loop (edited in very badly, too, as I recall--you could hear the regular loop fading out and the Christmas song fading in). I think the four songs did up making the real Christmas loop, which started in 2002.” Tracks added based on labeled tracks in limited circulation; no reference recording is available. See MouseBits, https://mousebits.com/smf/index.php?topic=6912.msg58376#msg58376 (2011). ",Unknown,,The Mamas and The Papas,1,
Look of Love,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,"This loop played inside of Flynn’s Arcade during ElecTRONica, which operated from 2010 to 2012. This is a preliminary track listing compiled by MouseBits user CThaddeus. The songs were interrupted by an ad for ""TRON: Legacy"" approximately every fifteen minutes, and not in the same places each time the loop plays. See MouseBits, https://mousebits.com/smf/index.php?topic=5949.msg51536#msg51536 (2011).",Unknown,,ABC,1,
867-5309 (Jenny),,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Tommy Tutone,8,
Gloria,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Laura Brannigan,2,
Juke Box Hero,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Foreigner,6,
Vacation,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,The Go-Go’s,7,
Let’s Dance,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,David Bowie,5,
Rock the Casbah,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,The Clash,3,
Do I Do,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Stevie Wonder,9,
I Love Rock n’ Roll,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Joan Jett & The Blackhearts,4,
Jesse’s Girl,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Rick Springfield,12,
Freeze Frame,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,J. Geils Band,15,
Shake it Up,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,The Cars,21,
Rio,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Duran Duran,11,
Hold Me,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Fleetwood Mac,27,
Don’t Stop Believin’,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Journey,23,
I Ran,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Flock of Seagulls,28,
I Will Follow,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,U2,14,
We Got the Beat,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,The Go-Go’s,18,
Billie Jean,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Michael Jackson,29,
Kick it Live From 9 to 5,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Sugarhill Gang,19,
Beat it,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Michael Jackson,22,
Tom Sawyer,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Rush,30,
Let’s Groove,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,"Earth, Wind, and Fire",25,
Who Can it Be Now?,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Men at Work,31,
Our Lips Are Sealed,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,The Go-Go’s,24,
Kids in America,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Kim Wilde,13,
Mickey,,,,,"October 8, 2010 → April 15, 2012",,ElecTRONica,Hollywood Pictures Backlot,ElecTRONica: Flynn's Arcade,,,,Toni Basil,26,
