Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,Disney Gallery Location,Holiday/Special Event,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Casey Jones,The Little Engine That Could,,Disneyland Records 1259,,,Main Street U.S.A. (storefront),,[2011-2012] All Aboard... A Grand Circle Tour of the Trains of Disney,,,,Bill Kannady and Chorus,10,"Preceded by ""I'm standing here on the railroad track ... and I'm in front of the big Disneyland & Santa Fe  Railroad station.  And down these tracks, in just a couple of seconds will come Walt Disney himself barreling in on a railroad train built to 5/8ths miniature size."" (Dateline Disneyland)"
Orange Blossom Special,Treasures of Fantasy (1996),,,,,Main Street U.S.A. (storefront),,[2011-2012] All Aboard... A Grand Circle Tour of the Trains of Disney,,,,Lucky Nugget Saloon,11,"Preceded by ""Now if you look on down the track, you see Mickey Mouse there at the controls.  And that's an exact duplicate of the engines that ran over fifty years ago ... Hello Walt! Hello Governor! ... How'd the run go?  Oh fine, fine.  The Governor had her around Frontierland, and then Fred Gurley, he took her 'round.  I picked her up and brought her in."" (Dateline Disneyland)

Track edited: 00:00 - ~03:39

This spoken portion appears at the break in the ""Orange Blossom Special"" track: ""Sorry for the hold up folks, there seems to be a slow moving train up ahead, so we've got to sit here for a spell."" (Big Thunder Mountain Railroad) *This is NOT the version found on the Disneyland Forever track but is rather from the current safety spiel. 
"
When You Wish Upon a Star,The Official Album of Disneyland and Walt Disney World [1991],,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,"This loop played in the Disney Gallery on Main Street, U.S.A. as part of the “Crowning Achievements – Creating Castles for Magical Kingdoms” exhibit which ran from June 30, 2012 through December 2012. Tracklist compiled by RocketRodsXPR, pixelated, and wedroy1923 based on a live recording by pixelated. See MouseBits, https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/post-69938 (2013) and https://disney-parks-music-compendium.blogspot.com/2022/11/the-disney-gallery-crowning.html (2022).",01:02:46.188,01:42.486,,1,Preceded by ~1.3 sec. silent gap
I'm Wishing,Symphonic Suites of the Animated Classics,,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,,Kingston Symphony,2,
With a Smile and a Song,Symphonic Suites of the Animated Classics,,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,,Kingston Symphony,3,
Someday My Prince Will Come,Symphonic Suites of the Animated Classics,,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,01:44.722,Kingston Symphony,4,
So This is Love Waltz,Disney's Cinderella [1995],,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,01:57.061,,5,
Bibbidi Bobbidi Boo,Disney's Delightful Piano Melody,,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,02:31.755,Kentarō Haneda,6,
A Whole New World,Greatest Classic Tracks Ever Made,,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,03:56.342,Royal Philharmonic Orchestra,7,
Enchanted Suite,Enchanted [Soundtrack],,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,04:27.733,Alan Menken,8,
Princess Diaries Waltz,The Princess Diaries [Score],,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,01:39.426,John Debney,9,Edited: ~00.26 - End
Just Around the Riverbend,Disney Karaoke Volume 1 [2000],,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,02:25.702,,10,The horn underliner present on this track is unique to the 2000 Karaoke CD release.
Sleeping Beauty Ballet Act III: 25. Pas de Quatre,Tchaikovsky: Sleeping Beauty,,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,03:12,George Weldon & the Philharmonia Orchestra,11," "
Queen Clarisse,The Princess Diaries [Score],,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,00:49,John Debney,12,
When You Wish Upon a Star,"Just the Music, Vol. 1",,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,02:09.531,,13,
So This is Love,Disney's Cinderella [1995],,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,01:57.360,,14,
Dress Building,Disney's Cinderella [1995],,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,02:22.892,,15,
Royal Fanfare and Reception at the Palace,Disney's Cinderella [1995],,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,01:50.065,,16,Edited: 00.00 - ~01.50
Colors of the Wind,Magical Musicals,,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,03:49.380,Erich Kunzel & the Cincinnati Pops Orchestra,17,
Tales from the Vienna Woods,Classical Music for People Who Hate Classical Music,,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,06:14.117,Arthur Fiedler & the Boston Pops,18,
Bibbidi Bobbidi Boo,,,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,03:40.402,,19,"Noted by RocketRodsXPR: “This is the same version of the song used on the Blue Sky Cellar: Fantasy Faire (after Spoonful of Sugar, before Little Woodenhead)”"
Belle,Disneyland Forever (Disney Gallery),,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,02:14.784,,20,Edited: 00.25 - End
Andalasia,Enchanted [Soundtrack],,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,00:58.880,Alan Menken,21,Edited: 00.00 - ~00.59
Once Upon a Dream,"Just the Music, Vol. 1",,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,01:28.978,,22,Edited: 00:00 - 01:28.978
A Dream is a Wish Your Heart Makes,Magical Movieland,,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,03:52.151,Royal Philharmonic Orchestra,23,
"Sleeping Beauty Suite, Op. 66a: Waltz",Tchaikovsky: Sleeping Beauty,,,,,Main Street U.S.A. (storefront),,[2012] Crowning Achievements – Creating Castles for Magical Kingdoms,,,04:09.499,George Weldon & the Philharmonia Orchestra,24,
I'm Wishing,Unreleased [The Disneyland Collection],,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!","This loop played in the Disney Gallery on Main Street, U.S.A. The loop was the BGM for the exhibit ”Realms of Fantasy  – Designs From the Happiest Kingdoms of Them All!” which was featured from December 14, 2012 through June 24, 2013. Tracklist compiled by wedroy1923 based on a 2012 recording by pixelated, with updates by SSrustworthy. As of July 2013, the Disneyana store (replacing the Disney Gallery) continued to play the Realms of Fantasy exhibit loop. See MouseBits, https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/post-69938 (2013) and https://disney-parks-music-compendium.blogspot.com/2022/11/the-disney-gallery-realms-of-fantasy-bgm.html (2022). Also see MouseBits, https://forums.mousebits.com/threads/disneyana-loop-on-main-street-u-s-a.10894/post-100280 (2025).",~00:28:00,,Snow White's Grotto,1,
With a Smile and a Song (Instrumental),Unreleased,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,Snow White's Scary Adventures / Enchanted Wish Queue,2,
Someday My Prince Will Come (instrumental),Unreleased,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,Snow White's Scary Adventures / Enchanted Wish Queue,3,
Peter Pan narration vocal + You Can Fly! You Can Fly! You Can Fly! (Instrumental),Unreleased,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,Peter Pan's Flight Queue,4,
A Pirate's Life (instrumental),Unreleased,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,Peter Pan's Flight Queue,5,
A Dream is a Wish Your Heart Makes,Unreleased,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,King Arthur's Carrousel,6,
Alice narration vocal,The Legacy Collection: Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,Fantasyland Darkride Suite,7,
Painting the Roses Red (instrumental),Unreleased,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,Alice in Wonderland Queue,8,"Extended WDWF track
Transitions into following track with short musical flourish"
Belle,Unreleased,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,Red Rose Taverne BGM,9,This is not the same version that was released as part of the Tokyo Disneyland box set track of Beauty and the Beast instrumentals
Fantasyland Castle Medley,"The Music of of Disneyland, Walt Disney World and Epcot Center",,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,Chorus,10,
Attraction Vocal Snippet + Hi Diddle Dee Dee (instrumental),Unreleased,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,Pinocchio's Daring Journey Queue,11,
Honking SFX + Merrily On Our Way to Nowhere (instrumental),Unreleased,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,Mr. Toad's Wild Ride Queue,12,
Medley: Fathoms Below / Kiss the Girl / Tour of the Kingdom / Part of Your World,Unreleased,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.1, Disneyana v.3, [2012-2013] Realms of Fantasy – Designs From the Happiest Kingdoms of Them All!",,,,The Little Mermaid: Ariel's Undersea Adventure Queue,13,
Foyer Organ,The Haunted Mansion Unofficial 36th Anniversary,,,,,Main Street U.S.A. (Opera House Lobby),,[2019-2023] Happy Haunts Materialize – Fifty Spirited Years of the Haunted Mansion,"This loop played in the Disney Gallery in the Main Street, U.S.A. Opera House as part of the “Happy Haunts Materialize” exhibit, which ran from July 2019-January 2023. There were a lot of SFX added on top of the music tracks. Tracklist compiled by SSrustworthy  based on her live recording. See MouseBits, https://forums.mousebits.com/threads/muppets-haunted-mansion.10704/post-98363 (2022) and https://forums.mousebits.com/threads/disney-gallery-happy-haunts-materialize.10898/#post-99256 (2023).",00:05:14.112,,,1,"this is repeated twice, the second repeat fades out at 0:54.568"
Seance Music,The Haunted Mansion Unofficial 36th Anniversary,,,,,Main Street U.S.A. (Opera House Lobby),,[2019-2023] Happy Haunts Materialize – Fifty Spirited Years of the Haunted Mansion,,,,,2,"fade in for 0:04.284, crossfade with another repeat at 0:57.938. Second repeat fades out at 0:23.181"
"Haunted Mansion, ‘Ballroom Organ’",Disneyland Forever,,,,,Main Street U.S.A. (Opera House Lobby),,[2019-2023] Happy Haunts Materialize – Fifty Spirited Years of the Haunted Mansion,,,,,3,fade out at 0:58.930
"Haunted Mansion, ‘Graveyard Music’ (original release)",Disneyland Forever,,,,,Main Street U.S.A. (Opera House Lobby),,[2019-2023] Happy Haunts Materialize – Fifty Spirited Years of the Haunted Mansion,,,,,4,"fade in at 0:14.018, fade out at 1:12.920"
When You Wish Upon A Star,Piano Inspirations: Uplifting Songs On Solo Piano,,,,,Main Street U.S.A. (Opera House Lobby),,[2023-2024] Disney 100 Years of Wonder,"This loop played in the Disney Gallery in the Main Street, U.S.A. Opera House as part of the “Disney 100 Years of Wonder” exhibit, which ran from January 2023-April 2024. It consists of a single track. Tracklist compiled by SSrustworthy based on StarWarsGalaxysEdge’s live recording. See MouseBits, https://forums.mousebits.com/threads/disneyland-gallery.10887/post-99204 (2023).",00:04:29.946,00:04:29.946,Stan Whitmire,1,There is likely a small fade out at the end to truncate the ringing final note.
Why Build Theme Parks?,The Imagineering Story (Original Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],"This loop plays in the Disney Gallery in the Main Street, U.S.A. Opera House as part of the “Walt Disney  – A Magical Life” exhibits, which opened in July 2025. Tracklist compiled by pixelated based on his August 2025 recording. See MouseBits, https://forums.mousebits.com/threads/walt-disney-a-magical-life-exhibits.11178/post-100517 (2025).",30:40.948,,Jeff Kryka,1,"Late start, end early"
Leisurely Stroll,Saving Mr. Banks (Original Motion Picture Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Thomas Newman,2,Late start
Tokyo Disney Seas,The Imagineering Story (Original Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Jeff Kryka,3,
Ginty My Love,Saving Mr. Banks (Original Motion Picture Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Thomas Newman,4,
Main Titles,The Cider House Rules (Music From The Miramax Motion Picture)  ,,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Rachel Portman,5,End early
Uncle Albert,Saving Mr. Banks (Original Motion Picture Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Thomas Newman,6,Late start
Collecting Research,The Imagineering Story (Original Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Jeff Kryka,7,
Four Levels of Detail,The Imagineering Story (Original Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Jeff Kryka,8,
The Magic Kingdom,Saving Mr. Banks (Original Motion Picture Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Thomas Newman,9,
Sense of Scale,The Imagineering Story (Original Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Jeff Kryka,10,
Aesthetics of the Seas,The Imagineering Story (Original Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Jeff Kryka,11,
Main Titles,Emma (Original Score),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Rachel Portman,12,
Little Edie On Chair,Grey Gardens (Music From The HBO Film),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Rachel Portman,13,
Travers Goff,Saving Mr. Banks (Original Motion Picture Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Thomas Newman,14,Late start
Where Do We Go From Here,The Imagineering Story (Original Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Jeff Kryka,15,
Saving Mr. Banks (End Title),Saving Mr. Banks (Original Motion Picture Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Thomas Newman,16,Late start (fade in)
Care of Our Imagineers,The Imagineering Story (Original Soundtrack),,,,,Main Street U.S.A. (Opera House Lobby),,[2025-] Walt Disney – A Magical Life Exhibits AKA Evolution of a Dream [REF],,,,Jeff Kryka,17,
